name,salary,published_at,area_name
"Software Engineer for Windows applications, COM-components development",,2003-10-07 00:00:00+04:00,Москва
Технический консультант.,12201.0,2003-09-19 14:42:13+04:00,Санкт-Петербург
Специалист по технической поддержке - сопровождению,,2003-08-28 00:00:00+04:00,Москва
"Менеджер по работе с партнерами, региональному развитию бизнеса",,2003-08-28 00:00:00+04:00,Москва
Стажер отдела консалтинга и внедрения,,2003-08-28 00:00:00+04:00,Москва
Программист-разработчик Delphi+Pl/SQL (Oracle),,2003-08-28 00:00:00+04:00,Москва
Консультант по внедрению ERP-системы,,2003-08-28 00:00:00+04:00,Москва
SAP R/3 functional consultant,,2003-01-24 21:30:49+03:00,Москва
Account Manager,,2003-10-06 00:00:00+04:00,Москва
IT Sales Manager,,2003-10-06 00:00:00+04:00,Москва
Broadcast encryption engineer,63568.0,2003-01-31 18:24:11+03:00,Южная Корея
Embedded OS engineering manager,63568.0,2003-01-31 18:25:43+03:00,Москва
Начальник Управления автоматизации крупного банка (ТОР-30),122014.0,2003-09-09 00:00:00+04:00,Москва
Coordinator on Intellectual Property Projects,,2003-02-12 10:40:50+03:00,Москва
Outsourcing Projects Coordinator,,2003-02-14 16:31:06+03:00,Москва
Software engineer  Project Leader,,2003-03-11 14:47:06+03:00,Москва
Localization Project Coordinator,,2003-03-19 14:22:04+03:00,Москва
Software engineer (Project Leader ),,2003-03-19 15:25:12+03:00,Москва
Software engineer (Project Leader ),,2003-03-19 15:26:37+03:00,Москва
Software engineer  (Project Leader),,2003-03-19 15:27:50+03:00,Москва
Специалист (настройщик) модуля BASIS SAP R/3,91842.0,2003-10-06 00:00:00+04:00,Москва
Менеджер по продвижению программных продуктов,31380.0,2003-04-01 18:28:37+04:00,Москва
Технический писатель,9414.0,2003-04-01 18:35:22+04:00,Москва
Key account manager  (продажа компьютерного оборудования),45755.0,2003-09-19 00:00:00+04:00,Москва
Системный инженер,36737.0,2003-10-06 00:00:00+04:00,Москва
"Project manager (ERP, SCM)",61007.0,2003-09-05 00:00:00+04:00,Москва
Бизнес-аналитик,37322.0,2003-05-14 16:18:16+04:00,Москва
Специалист по работе с неактивными запасами,,2003-05-21 17:45:08+04:00,Москва
Аccount manager,91510.0,2003-09-10 00:00:00+04:00,Москва
Менеджер по работес ключевывми клиентами,,2003-05-23 14:13:14+04:00,Москва
Менеджер по продажам,,2003-10-06 00:00:00+04:00,Москва
