name,salary_from,salary_to,salary_currency,area_name,published_at
Декоратор/реквизитор/костюмер частных и театральных проектов,30000.0,100000.0,RUR,Санкт-Петербург,2022-12-05T01:17:41+0300
Analyst/Researcher,,,,Москва,2022-12-05T00:08:23+0300
Старший аналитик/Старший исследователь,,,,Москва,2022-12-05T00:08:01+0300
Директор «Городской парк культуры и отдыха им. Ю. Гагарина»,200000.0,,RUR,Южно-Сахалинск,2022-12-05T01:47:30+0300
Системный администратор,35000.0,100000.0,RUR,Владивосток,2022-12-05T03:43:11+0300
IT-специалист,,50000.0,RUR,Москва,2022-12-05T00:40:09+0300
Арт-менеджер,80460.0,91954.0,RUR,Южно-Сахалинск,2022-12-05T03:40:18+0300
Инженер по сопровождению систем видеонаблюдения,50000.0,,RUR,Иркутск,2022-12-05T03:57:54+0300
Программист 1C,90000.0,,RUR,Иркутск,2022-12-05T03:05:32+0300
Специалист по защите информации (разработка документации),,,,Москва,2022-12-05T03:13:20+0300
Ученик мастера по ремонту бытовой техники,100000.0,200000.0,RUR,Москва,2022-12-05T00:02:19+0300
"Старший электромеханик АГОК, п. Айхал",,,,Айхал,2022-12-05T03:18:21+0300
Аналитик данных,,,,Минск,2022-12-05T00:27:09+0300
Системный администратор,60000.0,70000.0,RUR,Свободный,2022-12-05T02:53:31+0300
Специалист по защите информации в автоматизированных системах,,,,Москва,2022-12-05T03:13:16+0300
Разработчик SQL,,,,Москва,2022-12-05T02:24:15+0300
Инженер-программист C/C++,50000.0,120000.0,RUR,Владивосток,2022-12-05T01:36:28+0300
Программист периферийных устройств (на С/C++),50000.0,120000.0,RUR,Владивосток,2022-12-05T01:36:24+0300
Инженер по сопровождению рабочих мест и офисной техники,,,,Владивосток,2022-12-05T03:29:16+0300
Ведущий специалист по защите информации (WAF),,,,Москва,2022-12-05T03:13:05+0300
Ведущий инженер-программист,95000.0,99000.0,RUR,Владивосток,2022-12-05T01:06:29+0300
Системный администратор,40000.0,50000.0,RUR,Екатеринбург,2022-12-05T02:53:34+0300
Программист 1С (Розница),,,,Екатеринбург,2022-12-05T01:08:59+0300
Специалист по планированию ТОиР стационарного оборудования,,,,Алдан,2022-12-05T03:05:36+0300
Инженер-программист 1С,100000.0,,RUR,Хабаровск,2022-12-05T03:58:34+0300
Редактор онлайн издания ICT.Moscow,,,,Москва,2022-12-05T03:13:09+0300
Программист-схемотехник,,,,Астана,2022-12-05T05:19:35+0300
Механик,130000.0,170000.0,RUR,Хабаровск,2022-12-05T04:46:14+0300
Помощник дизайнера,28000.0,,RUR,Уфа,2022-12-05T07:14:39+0300
Графический дизайнер,80000.0,100000.0,RUR,Владивосток,2022-12-05T04:34:21+0300
Product owner/Продакт менеджер,500000.0,1000000.0,KZT,Алматы,2022-12-05T06:42:31+0300
Frontend-разработчик,,,,Алматы,2022-12-05T07:17:06+0300
QA Engineer,,,,Москва,2022-12-05T06:46:34+0300
